Date,Year,Team,Opponent,Win,Home,Star,Foreign,ball,OPS,BA,RBI,R,ERA,K,WHIP
2024/3/31,2024,富邦悍將,統一7-ELEVEn獅,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/3,2024,富邦悍將,統一7-ELEVEn獅,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/4,2024,富邦悍將,統一7-ELEVEn獅,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/5,2024,富邦悍將,台鋼雄鷹,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/6,2024,富邦悍將,台鋼雄鷹,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/7,2024,富邦悍將,台鋼雄鷹,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/10,2024,富邦悍將,味全龍,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/11,2024,富邦悍將,味全龍,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/12,2024,富邦悍將,樂天桃猿,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/13,2024,富邦悍將,樂天桃猿,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/14,2024,富邦悍將,樂天桃猿,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/17,2024,富邦悍將,中信兄弟,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/18,2024,富邦悍將,中信兄弟,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/19,2024,富邦悍將,統一7-ELEVEn獅,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/20,2024,富邦悍將,統一7-ELEVEn獅,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/21,2024,富邦悍將,統一7-ELEVEn獅,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/23,2024,富邦悍將,台鋼雄鷹,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/27,2024,富邦悍將,味全龍,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/4/28,2024,富邦悍將,味全龍,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/2,2024,富邦悍將,樂天桃猿,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/3,2024,富邦悍將,中信兄弟,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/4,2024,富邦悍將,中信兄弟,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/5,2024,富邦悍將,中信兄弟,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/7,2024,富邦悍將,台鋼雄鷹,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/10,2024,富邦悍將,中信兄弟,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/11,2024,富邦悍將,中信兄弟,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/12,2024,富邦悍將,中信兄弟,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/15,2024,富邦悍將,統一7-ELEVEn獅,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/17,2024,富邦悍將,味全龍,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/18,2024,富邦悍將,味全龍,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/19,2024,富邦悍將,味全龍,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/22,2024,富邦悍將,樂天桃猿,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/24,2024,富邦悍將,台鋼雄鷹,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/25,2024,富邦悍將,台鋼雄鷹,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/26,2024,富邦悍將,台鋼雄鷹,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/29,2024,富邦悍將,中信兄弟,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/30,2024,富邦悍將,中信兄弟,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/5/31,2024,富邦悍將,統一7-ELEVEn獅,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/1,2024,富邦悍將,統一7-ELEVEn獅,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/4,2024,富邦悍將,味全龍,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/7,2024,富邦悍將,樂天桃猿,0,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/8,2024,富邦悍將,樂天桃猿,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/9,2024,富邦悍將,樂天桃猿,1,0,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/10,2024,富邦悍將,中信兄弟,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/11,2024,富邦悍將,味全龍,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/13,2024,富邦悍將,味全龍,1,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/14,2024,富邦悍將,味全龍,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/15,2024,富邦悍將,台鋼雄鷹,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
2024/6/16,2024,富邦悍將,台鋼雄鷹,0,1,5,3,1,0.838,0.333333333,44,38,2.583732057,96.86479003,1.219365482
